prompt,response
tec:Yuh making joke,You cannot be serious.
tec:Ah cyah take yuh srs,I cannot take you serious.
tec:Sumn wrong dey,Something is wrong.
tec:Sumn wrong dey,Something is wrong there.
tec:I doing sumn rn,I am doing something right now.
"tec:Jack lamented, ""He slip and fall down lol !""","Jack lamented, ""He slipped and fell down haha!"""
"tec:Jack lamented, ""He slip and fall down lmao !""","Jack lamented, ""He slipped and fell down haha!"""
tec:Doh chook no hole in the mattress,Do not pierce holes in the mattress.
tec:Ah doh wah no part of it,I do not want any part of it.
tec:Hoss weh you iz bai,"Brother, where are you?"
tec:Dah boi chupid bad bad,That boy is very stupid.
tec:Dah bai chupid bad bad,That boy is very stupid.
tec:Sen meh yuh resume nah,Send me your resume.
tec:I inna bar with Jonny,I am in a bar with Jonny.
tec:Wat wud you do for money,What would you do for money?
tec:My g,My friend
tec:oo monsta,What's up?
tec:eyy look who,What's up?
tec:Wais de scn,How are you?
tec:Zeus is the gawd of thunder and lightning,Zeus is the god of thunder and lightning.
tec:Ah see tanty tryin to cross de road,I saw grandma trying to cross the road.
tec:De man talkin tata,He is talking nonsense.
tec:Lef meh alone,Leave me alone.
tec:He issa nigger,He is an african.
tec:He issa coolie,He is an east indian.
tec:Which smallie yuh like ,Which girl do you like?
tec:Diaz mi lova,That is my lover.
tec:Jenny is my sista,Jenny is my sister.
tec:He nuh fren inno,He is not my friend.
tec:Jack n I nuh home inno,Jack and I are not home.
tec:She prolly vex at yuh,She is probably angry at you.
tec:She prolly right bcus he nuh home,She is probably right because he is not home.
tec:Yuh playing with meh awa ?,Are you playing with me?
tec:awa,or what
tec:Hld meh books fuh meh,Hold my books for me.
tec:He dont know wey dah is,He does not know where that is.
tec:He like to skin his teeth,He likes to laugh.
tec:He going thru rel tabanca tho,He is still holding a lot of feeling though.
tec:Idk what he's doing,I do not know what he is doing.
tec:Wais de word dawg,What's up bro?
tec:Wais de wrd dawg,What's up bro?
tec:so ah think we cah live if old people cud not find siences and tecnologies and dey did not developped. ,So I think we would not be alive if our ancestors did not develop sciences and technologies. 
tec:so ah think we cah live if old people cud not find siences and tecnologies and dey did not developped. ,So I think we could not live if older people did not develop science and technologies. 
tec:so ah think we cah live if old people cud not find siences and tecnologies and dey did not developped. ,So I think we can not live if old people could not find science and technologies and they did not develop. 
tec:so ah think we cah live if old people cud not find siences and tecnologies and dey did not developped. ,So I think we can not live if old people can not find the science and technology that has not been developed. 
tec:fuh not use car. ,Not for use with a car. 
tec:fuh not use car. ,Do not use in the car. 
tec:fuh not use car. ,Car not for use. 
tec:fuh not use car. ,Can not use the car. 
tec:here waz nah promise of morning except dat we looked up through d trees we saw how low d forest had swung. ,"Here was no promise of morning, except that we looked up through the trees, and we saw how low the forest had swung. "
tec:here waz nah promise of morning except dat we looked up through d trees we saw how low d forest had swung. ,"Here, there was no promise of morning, except that we looked up through the trees and saw how low the forest had swung. "
tec:here waz nah promise of morning except dat we looked up through d trees we saw how low d forest had swung. ,Here was no promise of morning except that we looked up through the trees and we saw how low the forest had swung. 
tec:here waz nah promise of morning except dat we looked up through d trees we saw how low d forest had swung. ,There was no promise of morning except when we looked up through the trees and saw how low the forest had swung. 
tec:thus even today sex iz considered as d least important topic in many parts of india. ,"Thus, even today, sex is considered as the least important topic in may parts of India. "
tec:thus even today sex iz considered as d least important topic in many parts of india. ,"Thus, even today, sex is considered the least important topic in many parts of India. "
tec:thus even today sex iz considered as d least important topic in many parts of india. ,"Thus, even today, sex is considered the least important topic in many parts of India. "
tec:thus even today sex iz considered as d least important topic in many parts of india. ,"Thus, even today sex is considered as the least important topic in many parts of India. "
"tec:image yuh salf yuh are wark in factory just tuh do one ting like pot taire on car if dey fire yuh yuh will destroy , becouse u dont know more than pot taire in car. ","Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed, because you don't know more than to put air a in car. "
"tec:image yuh salf yuh are wark in factory just tuh do one ting like pot taire on car if dey fire yuh yuh will destroy , becouse u dont know more than pot taire in car. ","Imagine that you work in a factory and do just one thing, like put tires on cars ; if they fire you, they will destroy you because you don't know how to do anything but put tires on cars. "
"tec:image yuh salf yuh are wark in factory just tuh do one ting like pot taire on car if dey fire yuh yuh will destroy , becouse u dont know more than pot taire in car. ","image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy, becouse u dont know more than pot taire in car. "
"tec:image yuh salf yuh are wark in factory just tuh do one ting like pot taire on car if dey fire yuh yuh will destroy , becouse u dont know more than pot taire in car. ","Imagine yourself working in a factory. You are to do just one thing, such as put a tire on a car. If you are fired, it will destroy you because you do not know how to do more than put tires on cars. "
"tec:dey draw d consumers , like meh , tuh purchase dis great product wit all dese amazing ingredients and all dat buh actually dey just sometimes make sumn up just tuh increase their sales. ","They draw in the consumers, like me, to purchase a great product with amazing ingredients, but actually, they just make up these words to increase their sales. "
"tec:dey draw d consumers , like meh , tuh purchase dis great product wit all dese amazing ingredients and all dat buh actually dey just sometimes make sumn up just tuh increase their sales. ","They draw in consumers like me, who purchase this great product with all these amazing ingredients, but sometimes they just make things up to increase their sales. "
"tec:dey draw d consumers , like meh , tuh purchase dis great product wit all dese amazing ingredients and all dat buh actually dey just sometimes make sumn up just tuh increase their sales. ","They draw the consumers, like me, to purchase this great product with all these amazing features, but actually sometimes they just make something up just to increase their sales. "
"tec:dey draw d consumers , like meh , tuh purchase dis great product wit all dese amazing ingredients and all dat buh actually dey just sometimes make sumn up just tuh increase their sales. ","They draw the consumers, like me, to purchase this great product with all these amazing ingredients and all that, but actually they just sometimes make something up just to increase their sales. "
"tec:Ah wah tuh talk bout nocive or bad products like alcohol , hair spray and cigarrets. ","I want to talk about nocive or bad products like alcohol, hair spray and cigarettes. "
"tec:Ah wah tuh talk bout nocive or bad products like alcohol , hair spray and cigarrets. ","I want to talk about harmful or bad products like alcohol, hair spray and cigarettes. "
"tec:Ah wah tuh talk bout nocive or bad products like alcohol , hair spray and cigarrets. ","I want to talk about harmful or bad products like alcohol, hair spray and cigarettes. "
"tec:Ah wah tuh talk bout nocive or bad products like alcohol , hair spray and cigarrets. ","I want to talk about harmful or bad products like alcohol, hair spray and cigarettes. "
tec:fuh example dey can play football whenever dey wah buh d olders cah. ,"For example, they can play football whenever they want, but the elders cannot. "
tec:fuh example dey can play football whenever dey wah buh d olders cah. ,"For example, they can play football whenever they want but the others can not. "
tec:fuh example dey can play football whenever dey wah buh d olders cah. ,"For example, they can play football whenever they want but the seniors ca n't. "
tec:fuh example dey can play football whenever dey wah buh d olders cah. ,For example they can play football whenever they want but the older ones cannot. 
"tec:it figures diana krall wearing a rolex watch and has a text dat suggests dat if d reader wants tuh belong tuh d restricted club , not necessarily of rolex watch wearers , buh of highly talented , sophisticated and competent artists , he or she shud also hv a rolex. ","It features Diana Krall wearing a Rolex watch and the text suggests that if the reader wants to belong to a restricted club -- not necessarily of Rolex watch-wearers -- but of highly talented, sophisticated, competent artists, then he or she should also have a Rolex. "
"tec:it figures diana krall wearing a rolex watch and has a text dat suggests dat if d reader wants tuh belong tuh d restricted club , not necessarily of rolex watch wearers , buh of highly talented , sophisticated and competent artists , he or she shud also hv a rolex. ","Diana Krall is wearing a Rolex watch and has a text that suggests that if the reader wants to belong to a restricted club, comprised not just of Rolex watch wearers but highly talented, sophisticated and competent artists, he or she should also have a Rolex. "
"tec:it figures diana krall wearing a rolex watch and has a text dat suggests dat if d reader wants tuh belong tuh d restricted club , not necessarily of rolex watch wearers , buh of highly talented , sophisticated and competent artists , he or she shud also hv a rolex. ","It figures Diana Krall is wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club, not necessarily of Rolex watch wearers, but of highly talented, sophisticated and competent artists, he or she should also have a Rolex. "
"tec:it figures diana krall wearing a rolex watch and has a text dat suggests dat if d reader wants tuh belong tuh d restricted club , not necessarily of rolex watch wearers , buh of highly talented , sophisticated and competent artists , he or she shud also hv a rolex. ","It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club, not necessarily of Rolex watch wearers, but of highly talented, sophisticated and competent artists, he or she should also have a Rolex. "
tec:deh are several reason. ,There are several reasons. 
tec:dey are several reason. ,There are several reasons. 
tec:deh are several reason. ,There are several reasons. 
tec:deh are several reason. ,There are several reasons. 
"tec:also di wok of d media , television , magazines , and every stuff made fuh publicity affects d emotions of many people around d world , encouraging dem tuh buy and buy anything dey can. ","Also, the work of the media, television, magazines and other things made for publicity impacts the emotions of many people around the world, encouraging them to buy everything they can. "
"tec:also de wok of d media , television , magazines , and every stuff made fuh publicity affects d emotions of many people around d world , encouraging dem tuh buy and buy anything dey can. ","Also, the work of the media, television, magazines, and everything involved in publicity affects the emotions of people around the world, encouraging them to buy anything they can. "
"tec:also d wok of d media , television , magazines , and every stuff made fuh publicity affects d emotions of many people around d world , encouraging dem tuh buy and buy anything dey can. ","Also, the work of media, television, magazines, and other stuff made for publicity, affects the emotions of many people around the world, encouraging them to buy and buy anything they can. "
"tec:also d wok of d media , television , magazines , and every stuff made fuh publicity affects d emotions of many people around d world , encouraging dem tuh buy and buy anything dey can. ","Also, the work of the media, television, magazines, and everything made for publicity affects the emotions of many people around the world, encouraging them to buy and buy anything they can. "
"tec:since most urban areas are occupied wit cars , dey are all facing up wit an irresistible problem of air and noise pollution. ","Since most urban areas are occupied with cars, they are facing a problem of air and noise pollution. "
"tec:since most urban areas are occupied wit cars , dey are all facing up wit an irresistible problem of air and noise pollution. ","Since most urban areas are congested with cars, they all face the terrible problem of air and noise pollution. "
"tec:since most urban areas are occupied wit cars , dey are all facing up wit an irresistible problem of air and noise pollution. ","Since most urban areas are occupied with cars, they are all face upped with an irresistible problem of air and noise pollution. "
"tec:since most urban areas are occupied wit cars , dey are all facing up wit an irresistible problem of air and noise pollution. ","Since most urban areas are teeming with cars, they are all facing the unavoidable problem of air and noise pollution. "
"tec:it iz true dat consumers preffer tuh buy a product dat has a lower price , buh wen international companies dat has already d certification begins tuh sen its market , people will preffer tuh consume theirs bcuz d difference between prices iz probbably not going tuh affect dem tuh much. ","While it is true that consumers prefer to buy products with lower prices, when international companies that are already certified begin to send their products to market, people will prefer to consume those goods because the difference in price will probably not affect them too much. "
"tec:it iz true dat consumers preffer tuh buy a product dat has a lower price , buh wen international companies dat has already d certification begins tuh sen its market , people will preffer tuh consume theirs bcuz d difference between prices iz probbably not going tuh affect dem tuh much. ","It is true that consumers prefer to buy a product that has a lower price, but when international companies that already have the certification begin to send it to market, people will prefer to buy theirs because the difference between prices is probably not going to affect them too much. "
"tec:it iz true dat consumers preffer tuh buy a product dat has a lower price , buh wen international companies dat has already d certification begins tuh sen its market , people will preffer tuh consume theirs bcuz d difference between prices iz probbably not going tuh affect dem tuh much. ","It is true that consumers prefer to buy a product that has a lower price, but when international companies that already have the certification begin to send it to market, people will prefer to consume theirs because the difference between prices is probably not going to affect them too much. "
"tec:it iz true dat consumers preffer tuh buy a product dat has a lower price , buh wen international companies dat has already d certification begins tuh sen its market , people will preffer tuh consume theirs bcuz d difference between prices iz probbably not going tuh affect dem tuh much. ","It is true that consumers prefer to buy a product that has a lower price, but when international companies that already have the certification begin to enter the market, people will prefer to consume theirs because the difference between prices is probably not going to affect them too much. "
tec:4:dey hv a big chance tuh prepare fuh their future life ,"Fourth, they have a great chance to prepare for their future life. "
tec:4:dey hv a big chance tuh prepare fuh their future life ,Point four is that they have a big chance to prepare for their future life. 
tec:4:dey hv a big chance tuh prepare fuh their future life ,They have a great chance to prepare for their future life. 
tec:4:dey hv a big chance tuh prepare fuh their future life ,They have a good chance to prepare for their future life. 
tec:one person if do n't hv gud health dat means so many things dey cud lost. ,"If a person does n't have good health, so many things could be lost. "
tec:one person if do n't hv gud health dat means so many things dey cud lost. ,"If one person does not have good health, that means they could lose so many things. "
tec:one person if do n't hv gud health dat means so many things dey cud lost. ,"If one person does n't have good health, that means they could lose so many things. "
tec:one person if do n't hv gud health dat means so many things dey cud lost. ,"If one person does n't have good health, that means so many things they could lose. "
tec:many studies over d last 5 0 years hv shown dat people who hv fluoride in their drinking water are considerably hv less cavities than people who hv not drinking nonfluoridated water. ,Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water have considerably fewer cavities than people who are not drinking water with fluoride. 
tec:many studies over d last 5 0 years hv shown dat people who hv fluoride in their drinking water are considerably hv less cavities than people who hv not drinking nonfluoridated water. ,Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water. 
tec:many studies over d last 5 0 years hv shown dat people who hv fluoride in their drinking water are considerably hv less cavities than people who hv not drinking nonfluoridated water. ,Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water are considerably less likely to have cavities than people who have non-fluoridated water. 
tec:many studies over d last 5 0 years hv shown dat people who hv fluoride in their drinking water are considerably hv less cavities than people who hv not drinking nonfluoridated water. ,Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water have considerably less cavities than people who have been drinking non-fluoridated water. 
"tec:likewise , d theory generating from d concept of memory iz also not d appropriate way due tuh limited memory. ","Likewise, the theory coming from the concept of memory is also not the appropriate way due to limited memory. "
"tec:likewise , d theory generating from d concept of memory iz also not d appropriate way due tuh limited memory. ","Likewise, the theory generated from the concept of memory is also not appropriate due to limited memory. "
"tec:likewise , d theory generating from d concept of memory iz also not d appropriate way due tuh limited memory. ","Likewise, the theory generating from the concept of memory is also not the appropriate way due to limited memory. "
"tec:likewise , d theory generating from d concept of memory iz also not d appropriate way due tuh limited memory. ","Likewise, the theory generating from the concept of memory is also not the appropriate way due to limited memory. "
tec:bcuz dey spent time unmeaningful subjects. ,They spent time in subjects that were not meaningful. 
tec:bcus dey spent time unmeaningful subjects. ,They spent time on unmeaningful subjects. 
tec:bcuz dey spent time unmeaningful subjects. ,Because they spent time on unmeaningful subjects. 
tec:bcuz dey spent time unmeaningful subjects. ,Because they spent time on unmeaningful subjects. 
"tec:Ah waz rel fast , mi best time waz 5 5 seconds in 4 0 0 hundred meters iz a gud time in or country. ","I was very fast : my best time was 55 seconds in 400 hundred meters, and this is a good time in my country. "
"tec:Ah waz rel fast , mi best time waz 5 5 seconds in 4 0 0 hundred meters iz a gud time in or country. ","I was very fast ; my best time was 5 5 seconds for 4 0 0 hundred meters, and that is a good time in or out of this country. "
"tec:Ah waz rel fast , mi best time waz 5 5 seconds in 4 0 0 hundred meters iz a gud time in or country. ",I was very fast and my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country. 
"tec:Ah waz rel fast , mi best time waz 5 5 seconds in 4 0 0 hundred meters iz a gud time in or country. ",I was very fast ; my best time was 5 5 seconds in 4 0 0 hundred meters. That is a good time in or country. 
tec:and young people spend time more ther lifestile. ,And young people spend more time on their lifestyles. 
tec:and young people spend time more ther lifestile. ,And young people spend more time on their lifestyle. 
tec:and young people spend time more ther lifestile. ,And young people spend more time on their lifestyle. 
tec:and young people spend time more ther lifestile. ,And young people spend more time pursuing this lifestyle. 
tec:if in dis society who will not tuh do study dey neva concept deh opportunity or ca n't understand any ideas so most of d important dat in dis situation and Ah also rel interestion and also prefer dat fuh d study material. ,"In this society, those who will not study will never grasp the concepts or understand any ideas, which is the most important point ; thus I am also very interested and prefer to have the study materials. "
tec:if in dis society who will not tuh do study dey neva concept deh opportunity or ca n't understand any ideas so most of d important dat in dis situation and Ah also rel interestion and also prefer dat fuh d study material. ,"In this society, those who do not study will never have opportunities or understand ideas that are important in these situations ; I am very interested and prefer study materials. "
tec:if in dis society who will not tuh do study dey neva concept deh opportunity or ca n't understand any ideas so most of d important dat in dis situation and Ah also rel interestion and also prefer dat fuh d study material. ,"If, in this society, there are those who will not study, then they neither comprehend their opportunity nor understand any ideas most important in this situation, which I find very interesting and prefer for study material. "
tec:if in dis society who will not tuh do study dey neva concept deh opportunity or ca n't understand any ideas so most of d important dat in dis situation and Ah also rel interestion and also prefer dat fuh d study material. ,In this society those who will not study never understand the concept nor opportunity or ca n't understand any ideas so most of the importance in that situation is lost and I am also very interesting and also prefer that for the study material. 
tec:we hv tuh know dis problem it 's srs buh almost people doens't know bout dis. ,"This is a serious problem, but most people are unaware of it. "
tec:we hv tuh know dis problem it 's srs buh almost people doens't know bout dis. ,We have to know this problem is serious but most people do n't know about this. 
tec:we hv tuh know dis problem it 's srs buh almost people doens't know bout dis. ,We have to know about this problem because it 's serious but most people do n't know about this. 
tec:we hv tuh know dis problem it 's srs buh almost people doens't know bout dis. ,We have to know if this problem is serious but most people do n't know about it. 
tec:students can focus on only a few subjects dey are intwerested in and dey will become an experts in those areas. ,Students can focus on only a few subjects they are interested in and they will become experts in those areas. 
tec:students can focus on only a few subjects dey are intwerested in and dey will become an experts in those areas. ,Students can focus on only a few subjects they are interested in and they will become experts in those areas. 
tec:students can focus on only a few subjects dey are intwerested in and dey will become an experts in those areas. ,Students can focus on only a few subjects they are interested in and they will become an expert in those areas. 
tec:students can focus on only a few subjects dey are intwerested in and dey will become an experts in those areas. ,Students can focus on only a few subjects they are interested in and they will become an expert in those areas. 
"tec:buh in other waythismakes other way country need tuh pay extra money tuh make , repair d roads wat dey did iz reduce d amount of gas consumers , high d gas tax , and low d income tax bcuz dey thought , only rise d gas tax iz unfair. ","But in another way, this means the country needs to pay extra money to build and repair the roads ; what they did is reduce the amount of gas consumed, raise the gas tax, and lower the income tax because they thought only raising the gas tax is unfair. "
"tec:buh in other waythismakes other way country need tuh pay extra money tuh make , repair d roads wat dey did iz reduce d amount of gas consumers , high d gas tax , and low d income tax bcuz dey thought , only rise d gas tax iz unfair. ","But in other ways this makes the other country need to pay extra money to make, repair the roads What they did is reduce the amount of gas consumers, raise the gas tax, and low the income tax because they thought, only raising the gas tax is unfair. "
"tec:buh in other waythismakes other way country need tuh pay extra money tuh make , repair d roads wat dey did iz reduce d amount of gas consumers , high d gas tax , and low d income tax bcuz dey thought , only rise d gas tax iz unfair. ","But in other ways, this creates another way for the country to make extra money to repair the roads ; they did this by reducing the amount of gas consumed by raising the gas tax, and they lowered the income tax because they thought that only raising the gas tax was unfair. "
"tec:buh in other waythismakes other way country need tuh pay extra money tuh make , repair d roads wat dey did iz reduce d amount of gas consumers , high d gas tax , and low d income tax bcuz dey thought , only rise d gas tax iz unfair. ","But in other ways, this caused the country to need to pay extra money to make and repair the roads. What they did was reduce the amount of gas consumers, increase the gas tax, and lower the income tax because they thought that only increasing the gas tax would have been unfair. "
"tec:today , mba students wit a background in engineering are in high demand. ","Today, MBA students with a background in engineering are in high demand. "
